Nationalité,Classes d'âge par étapes de 5 ans,Mois,Janvier 2017,Février 2017,Mars 2017,Avril 2017,Mai 2017,Juin 2017,Juillet 2017,Août 2017,Septembre 2017
 , ,Mesures,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits,Chômeurs inscrits
Etrangers,15-19 ans,,1'363,1'334,1'282,1'138,1'070,1'127,1'535,1'993,1'648
Etrangers,20-24 ans,,5'415,5'243,4'881,4'395,4'050,3'727,3'755,4'196,4'187
Etrangers,25-29 ans,,10'303,9'926,9'188,8'734,8'229,7'645,7'396,7'271,7'276
Etrangers,30-34 ans,,13'259,12'810,12'184,11'554,10'852,10'131,9'948,9'894,9'692
Etrangers,35-39 ans,,12'629,12'123,11'399,10'908,10'311,9'769,9'545,9'363,9'311
Etrangers,40-44 ans,,10'819,10'363,9'752,9'301,8'718,8'273,8'030,7'944,7'883
Etrangers,45-49 ans,,9'268,8'854,8'343,7'987,7'505,6'999,6'749,6'634,6'565
Etrangers,50-54 ans,,8'108,7'733,7'209,6'834,6'434,5'967,5'708,5'613,5'617
Etrangers,55-59 ans,,5'711,5'547,5'260,4'947,4'619,4'302,4'202,4'210,4'212
Etrangers,60 ans et plus,,2'997,2'960,2'911,2'860,2'835,2'687,2'641,2'577,2'562
Etrangers,Total,,79'872,76'893,72'409,68'658,64'623,60'627,59'509,59'695,58'953
Suisses,15-19 ans,,2'833,2'714,2'398,2'173,2'000,1'944,2'688,3'725,3'201
Suisses,20-24 ans,,10'171,9'817,9'002,8'510,7'836,7'310,7'685,8'838,8'673
Suisses,25-29 ans,,11'762,11'414,10'914,10'539,10'100,9'779,9'881,9'796,9'741
Suisses,30-34 ans,,9'798,9'622,9'168,8'935,8'780,8'535,8'666,8'565,8'376
Suisses,35-39 ans,,8'080,7'954,7'771,7'615,7'469,7'311,7'405,7'307,7'069
Suisses,40-44 ans,,7'680,7'493,7'279,7'059,6'847,6'742,6'872,6'809,6'658
Suisses,45-49 ans,,9'153,8'911,8'770,8'517,8'339,8'089,8'016,7'896,7'706
Suisses,50-54 ans,,9'924,9'866,9'617,9'465,9'188,8'950,8'910,8'787,8'645
Suisses,55-59 ans,,8'356,8'328,8'228,8'171,7'938,7'780,7'832,7'788,7'722
Suisses,60 ans et plus,,6'837,6'797,6'724,6'685,6'658,6'536,6'462,6'372,6'425
Suisses,Total,,84'594,82'916,79'871,77'669,75'155,72'976,74'417,75'883,74'216
Total,,,164'466,159'809,152'280,146'327,139'778,133'603,133'926,135'578,133'169
